Wall time,Step,Value
1766886639.0993528,2048,-3.1213114261627197
1766886640.6341136,4096,-2.4089999198913574
1766886642.1279457,6144,-0.400299996137619
1766886643.6147346,8192,1.8480000495910645
1766886645.2309482,10240,4.05019998550415
1766886646.791267,12288,7.906099796295166
1766886648.3445163,14336,12.513099670410156
1766886649.872482,16384,16.26300048828125
1766886651.4634917,18432,21.642200469970703
1766886653.1264048,20480,27.48940086364746
1766886655.2729564,22528,28.993799209594727
1766886656.8967693,24576,34.536598205566406
1766886658.5036454,26624,39.14630126953125
1766886660.0732546,28672,45.5343017578125
1766886661.7289991,30720,52.22589874267578
1766886663.4291961,32768,57.77880096435547
1766886665.1159296,34816,60.018699645996094
1766886666.8086772,36864,68.18939971923828
1766886668.5637343,38912,72.80919647216797
1766886670.498049,40960,80.03839874267578
1766886672.3936253,43008,79.07450103759766
1766886674.117968,45056,84.09750366210938
1766886676.0277712,47104,92.4717025756836
1766886678.0860589,49152,90.84719848632812
1766886679.8787668,51200,99.61599731445312
1766886681.7251794,53248,100.09539794921875
1766886683.4627142,55296,107.75959777832031
1766886685.5961025,57344,111.84480285644531
1766886687.5786688,59392,112.90290069580078
1766886689.3997529,61440,118.31120300292969
1766886691.2757769,63488,129.1143035888672
1766886693.148882,65536,136.93910217285156
1766886695.0235407,67584,136.02059936523438
1766886696.8727534,69632,146.5561981201172
1766886698.708686,71680,149.8291015625
1766886700.504891,73728,147.22669982910156
1766886702.589665,75776,146.285400390625
1766886704.7836409,77824,148.31689453125
1766886706.6561162,79872,136.46409606933594
1766886708.618895,81920,134.70809936523438
1766886710.3969214,83968,135.968994140625
1766886712.2043319,86016,143.37030029296875
1766886713.956039,88064,147.51950073242188
1766886715.6986427,90112,163.25259399414062
1766886717.5861092,92160,160.293701171875
1766886719.407915,94208,156.97549438476562
1766886721.2389355,96256,150.33070373535156
1766886723.0939555,98304,152.77659606933594
1766886725.0460236,100352,145.24490356445312
1766886727.111417,102400,137.93409729003906
1766886729.3329268,104448,146.36920166015625
1766886731.306385,106496,150.37159729003906
1766886733.3823574,108544,153.5959930419922
1766886735.207305,110592,159.81959533691406
1766886737.1767685,112640,159.92689514160156
1766886739.1630702,114688,134.34060668945312
1766886741.130774,116736,135.41969299316406
1766886743.0780182,118784,142.7310028076172
1766886745.1520076,120832,148.25169372558594
1766886747.2490633,122880,152.12789916992188
1766886749.4834716,124928,158.3155059814453
1766886751.391251,126976,161.279296875
1766886753.2635865,129024,175.6970977783203
1766886755.2839913,131072,180.53309631347656
1766886757.2846487,133120,185.82440185546875
1766886759.1496673,135168,177.41259765625
1766886761.2197933,137216,181.7572021484375
1766886763.4732988,139264,180.89419555664062
1766886765.5420952,141312,174.09979248046875
1766886767.5055716,143360,179.59230041503906
1766886769.390771,145408,181.0915985107422
1766886771.3537765,147456,195.40750122070312
1766886773.2899306,149504,197.36790466308594
1766886775.2018025,151552,199.93589782714844
1766886777.166697,153600,188.11619567871094
1766886779.1309173,155648,192.09750366210938
1766886781.2599459,157696,169.091796875
1766886783.2198224,159744,171.76449584960938
1766886785.4473197,161792,175.88059997558594
1766886787.5318944,163840,174.0222930908203
1766886789.588486,165888,170.80670166015625
1766886791.7047727,167936,175.92550659179688
1766886793.6552622,169984,176.41929626464844
1766886795.5300894,172032,188.13369750976562
1766886797.3909497,174080,174.53109741210938
1766886799.2231283,176128,160.8459930419922
1766886801.0671053,178176,164.67880249023438
1766886803.056983,180224,161.67129516601562
1766886805.243008,182272,167.19729614257812
1766886807.2595625,184320,172.30459594726562
1766886809.2989879,186368,165.0034942626953
1766886811.2738042,188416,159.1417999267578
1766886813.2870922,190464,167.5811004638672
1766886815.3852668,192512,174.09829711914062
1766886817.9023643,194560,188.56219482421875
1766886820.09741,196608,170.22230529785156
1766886821.9987645,198656,180.57240295410156
1766886824.051268,200704,178.0970001220703
1766886825.988544,202752,180.90480041503906
1766886827.902309,204800,184.5395965576172
1766886829.79323,206848,198.0863037109375
1766886831.879176,208896,197.86669921875
1766886833.9278436,210944,204.17160034179688
1766886835.9549856,212992,205.92149353027344
1766886838.099662,215040,201.14869689941406
1766886840.2221296,217088,209.0196075439453
1766886842.2412612,219136,212.8513946533203
1766886844.3073409,221184,217.86639404296875
1766886846.547227,223232,224.43890380859375
1766886848.7450385,225280,226.1157989501953
1766886850.7537107,227328,222.1186065673828
1766886852.660096,229376,214.9145050048828
1766886854.556378,231424,229.82899475097656
1766886856.5716712,233472,236.2006072998047
